0	Corobo
1	Liam
2	Verde
3	Howser
4	Skinny Ray
5	Kampbell
6	Corobo’s Mother? Crashes
7	Apricot? Crashes
8	Bouquet? Crashes
9	Spumoni? Crashes
10	Shizuka? Crashes
11	Kokomo Pine? Crashes
12	Ferne? Crashes
13	Martel? Crashes
14	Ginger
15	Mr. M
23	Carefree Child
24	Carefree Adult
25	Grunt Soldier
26	Hardened Soldier
27	Steel Knight
28	Animal Hunter
29	Rainbow Wizard
30	Buff Lumberjack
31	Hardworking Farmer
32	Ripped Miner
33	Regular Carpenter
34	Mega Carpenter
35	Giga Carpenter
36	Savvy Merchant
37	Gourmet Cook
38	Brainy Doctor
39	Eggan
40	Broadcaster
41	Mountie
42	Craftian
43	Florist
44	Throne Visit Carefree Adult
45	Theater Manager
46	Throne Visit Savvy Merchant
47	Unused? Crashes
48	Long Sauvage
49	Duvroc
100	Dog
101	Chicken
102	Cat
103	Sparrow
104	Sheep
105	Cow
106	Chick
107	Panda
108	Squirrel
109	Bear Cub
110	Unused? Crashes
111	Baby Boar
112	Raccoon Dog
116	Pancho
117	Penguin
118	Messenger Animal: Rabbit
119	Messenger Animal: Baby Boar
120	Messenger Animal: Penguin
121	White Rat
122	Red Rat
123	Blue Rat
124	Yellow Rat
125	Bear Cub
126	Sequence Test
