-1	Candy Drop
-1	Chocolate Bar
-1	Jojoyaki
-1	Draw Dumpling
-1	God Bun
-1	Boiled Egg
-1	Cheese Omelet
-1	Giant Egg
-1	Golden Egg
-1	Happiness Egg
-1	California Roll
-1	White Tangerine
-1	Aikido Fish
-1	Dried Fish
-1	Wanda Fish
-1	Slig Meat
-1	Dolly Meat
-1	Charlie Beef
-1	Rodeo Meat
-1	Kool Meat
-1	Mackaye Meat
-1	Fried Meat
-1	Stinky Meat
-1	Beefy Beef
-1	Crazy Meat
-1	Mushy
-1	Mushssie
-1	Mushclose
-1	Rock Mushroom
-1	Nail Mushroom
-1	Regular Turnip
-1	Rash Turnip
-1	Big Boss Turnip
-1	Creed Turnip
-1	Golden Turnip
-1	Allez Seaweed
-1	Roasted Clam
-1	Big Seaweed
-1	Maybe Crab
-1	Day-After Fish
