-1	Swarm
-1	Turniplepas
-1	Mokemoke
-1	Gorilla Potato
-1	Goatcrocken
-1	Egg Prince
-1	Come on the Board
-1	Parrot Manager
-1	Macho MOE
-1	Mashuraten
-1	Persiraffe
-1	Dirt Eater
-1	Squidmone
-1	Mush & Room
-1	Phantom Berry
-1	Bean Die
-1	Elf Hunter
-1	My Fairy
-1	Building Block Castle
-1	Bath Tree
-1	Stuffed Tree Stuffed Nut
-1	PANDA Jet
-1	Gow Bug
-1	Rainbow Snake
-1	Omike
-1	Punk Wood
-1	Seafood
-1	Marvel Brothers
-1	Mai Home
-1	Precedo
-1	Uncle Frank
-1	Blockade Flower
-1	MUMA
-1	Dragon King
-1	Poison Dragon
-1	Trauma Inducer
-1	Glasses
-1	Scovalle
-1	Octolesia
-1	Norichan
-1	Chulichu
-1	Pii * Po
-1	Nennen
-1	Toilet and\nPaper Fairies
-1	Dummy Root
-1	Rice Man
-1	Bashful Spinny
-1	Corc
-1	Gol Bago
-1	Unkou
-1	Geezer Uncle
-1	Bowl Brothers
-1	Mummy Bird
-1	Cheezun
-1	Puff King &\nPuff Soldier
-1	Kirame
-1	Chinnen
-1	Athlete's Foot
-1	Browgeddon
-1	Pigeonette
-1	Baend
-1	Twin Ghosts
-1	Rabupon
-1	Maromaro
-1	Yo, Hei, Unhei
-1	Horizontal Zebra
-1	Blossom Boy
-1	Nosehair Oldman
-1	Yoreyore
-1	Marochama
-1	Home
-1	Breaktime Family
-1	Ricecake
-1	Yurihas
-1	Boaster Worm
-1	Foot Couple
-1	Eringi
-1	Machiroria
-1	Battoon
-1	Negotiator Cat
-1	Morhino
-1	Miss Turkina
-1	Sakuya Konohana
-1	Hooky Worm
-1	Finger Man
-1	King
-1	Usatan
-1	Lips Man
-1	Mr. Tamayama
-1	Battonfly
-1	U, M, A bugs
-1	Tokkilth
-1	Updown Worm
-1	Rebbelious Imp
-1	Lulu
-1	Rule
-1	Echor
-1	Jealousy Knight
-1	Potato Worm
-1	Don Bracocko
